month,std,mean,count
0,0.002874137845595379,-7.940615594241128e-05,17653
1,0.0030758289268435356,-0.00018996189989102847,17715
2,0.0025832094790816354,4.17549234665922e-05,17654
3,0.0026114221654550706,-0.00011971349912423753,17670
4,0.0036625667757748427,-0.00010025681828801197,17716
5,0.0027881036962756635,-3.22549837297397e-05,17685
6,0.00308400346265606,-0.0002528361366070174,17664
7,0.0037263844861199057,-0.0001396948204006823,17678
8,0.00289169446754546,6.17196320271066e-05,17651
9,0.0029829758075666105,0.0002474406141866945,17661
10,0.0030426536791127974,5.4981839858799545e-05,17665
11,0.0029107811923342612,0.00010340635101203706,17607
12,0.0027260780241755785,-9.94593851122769e-06,17661
13,0.002694936048366813,-1.8029351239699756e-05,17719
14,0.0025720076318654535,6.800163634009421e-05,17744
15,0.002622627906106448,-5.8727979638189066e-05,17722
16,0.0023278491499986115,-9.822818123727464e-05,17744
17,0.0025834770317094266,-0.00023485256415488106,17759
18,0.002740473046952604,8.661688806995052e-05,17754
19,0.0030192135812533685,4.398144777516622e-05,17809
20,0.0026420810203688513,0.00011819087962073129,17770
21,0.0025406231872317376,1.825308153406482e-05,17797
22,0.002546130093106268,-1.988505534160901e-05,17758
23,0.002288996142093117,-6.422948223393089e-05,17722
24,0.0021397506112797358,0.00012948300668534835,17758
25,0.0021025074387296156,9.777444258810229e-05,17806
26,0.002229143660079642,-3.5318593712846264e-05,17805
27,0.002027220497998768,5.294632987805094e-05,17809
28,0.0021619660890232796,-0.00010155956866768752,17786
29,0.00242251125344719,-7.739908949155479e-05,17730
30,0.0025287646727618924,-1.1917245758495468e-05,17676
31,0.0027615004075569466,-9.064774156845648e-05,17699
32,0.0025839960403706594,-5.2842377185465336e-05,17642
33,0.0023404407227141325,8.061570949366053e-05,17685
34,0.002218230861513644,-5.0767836588808635e-05,17688
35,0.0023467483919786063,6.701029818314893e-05,17699
36,0.002020104724757709,-3.368168272532657e-07,17671
37,0.0019799885484319915,-2.12799650534089e-05,17730
38,0.00205836689984106,-0.00015335453336350464,17729
39,0.002376280697121349,2.2886320649993584e-05,17760
40,0.0021285421004192274,-5.5321910251343634e-05,17795
41,0.0019109435029292287,4.8026102083386934e-05,17789
42,0.0018577858046468897,-0.00014726663855376966,17752
43,0.002360811117137792,8.807180913932507e-05,17749
44,0.0019012814631726306,8.058337728760589e-05,17750
45,0.0018901731280767324,1.0769024432445023e-05,17796
46,0.0019600211573848766,-8.457546264790328e-06,17851
47,0.001942623234624055,-3.375697897607604e-05,17806
48,0.0020435758496807907,-4.740957651007125e-05,17807
49,0.002588135662495895,-0.00021036007529106086,17825
50,0.0040298316320330355,-0.00019114330425718508,17820
51,0.0031612719134644705,-1.8590671854329356e-05,17852
52,0.0025274288940055046,0.00014394325744246353,17792
53,0.0025834928086037544,-8.818856103498514e-05,17768
54,0.0024780869797361624,9.419153907612968e-05,17786
55,0.002666874015779476,3.3121698837107876e-05,17771
56,0.0022530211363856016,2.6450944094088082e-05,17672
57,0.0021019202080493557,-0.00013207373089390624,17684
58,0.002358109676159286,9.080880491377208e-06,17660
59,0.0022893927397547582,-0.00019105014465180413,17787
60,0.002351478666044563,-0.00011845671494863378,17770
61,0.0022592083456892415,3.328229054066319e-05,17711
62,0.002331716121230229,0.00013694618086809187,17739
63,0.0020516731487177672,-7.540619413767476e-05,17744
64,0.0022093236994449954,0.00010387476260839854,17740
65,0.002356699939701965,-2.1751502899718605e-05,17691
66,0.005003201337375018,1.596769799122783e-06,17187
67,0.003232090664630849,0.00013454527545803355,17515
68,0.003291875974260963,0.00012189453315390597,17326
69,0.0031015012315929813,-0.00023300132918090493,17454
70,0.0028495080741679875,0.00035345604584330396,17597
